timestamp,price_usd
1622520000,35000.12345678
1622606400,35200.23456789
1622692800,34850.34567890
1622779200,34975.45678901
1622865600,35100.56789012
1622952000,35325.67890123
1623038400,35450.78901234
1623124800,35575.89012345
1623211200,35700.90123456
1623297600,35825.01234567
1623384000,35950.12345678
1623470400,36075.23456789
1623556800,36200.34567890
1623643200,36325.45678901
1623729600,36450.56789012
1623816000,36575.67890123
1623902400,36700.78901234
1623988800,36825.89012345
1624075200,36950.90123456
1624161600,37075.01234567
1624248000,37200.12345678
1624334400,37325.23456789
1624420800,37450.34567890
1624507200,37575.45678901
1624593600,37700.56789012
1624680000,37825.67890123
1624766400,37950.78901234
1624852800,38075.89012345
1624939200,38200.90123456
1625025600,38325.01234567
1625112000,38450.12345678
1625198400,38575.23456789
1625284800,38700.34567890
1625371200,38825.45678901
1625457600,38950.56789012
1625544000,39075.67890123
1625630400,39200.78901234
1625716800,39325.89012345
1625803200,39450.90123456
1625889600,39575.01234567
1625976000,39700.12345678
1626062400,39825.23456789
1626148800,39950.34567890
1626235200,40075.45678901
1626321600,40200.56789012
1626408000,40325.67890123
1626494400,40450.78901234
1626580800,40575.89012345
1626667200,40700.90123456
1626753600,40825.01234567
1626840000,40950.12345678
1626926400,41075.23456789
1627012800,41200.34567890
1627099200,41325.45678901
1627185600,41450.56789012
1627272000,41575.67890123
1627358400,41700.78901234
1627444800,41825.89012345
1627531200,41950.90123456
1627617600,42075.01234567
1627704000,42200.12345678
1627790400,42325.23456789
1627876800,42450.34567890
1627963200,42575.45678901
1628049600,42700.56789012
1628136000,42825.67890123
1628222400,42950.78901234
1628308800,43075.89012345
1628395200,43200.90123456
1628481600,43325.01234567
1628568000,43450.12345678
1628654400,43575.23456789
1628740800,43700.34567890
1628827200,43825.45678901
1628913600,43950.56789012
1629000000,44075.67890123
1629086400,44200.78901234
1629172800,44325.89012345
1629259200,44450.90123456
1629345600,44575.01234567
1629432000,44700.12345678
1629518400,44825.23456789
1629604800,44950.34567890
1629691200,45075.45678901
1629777600,45200.56789012
1629864000,45325.67890123
1629950400,45450.78901234
1629964800,45500.12345678
1630041200,45600.12345
1630127600,45700.23456789
1630214000,45800.34567890
1630300400,45900.45678901
